serialNumber,imei,modelNumber,status,lastActive,signal,battery,dataUsage,po
"11F215200103","864351056259809","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200005","864351056301098","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200236","864351056306816","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200015","864351056314711","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200057","864351056307178","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200047","864351056308853","LS802-GP","Activated","","23","80","","PO#5BF00162"
"11F215200114","864351056301460","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200095","864351056301882","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200034","864351056297106","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200145","864351056303011","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200078","864351056299268","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200232","864351056307814","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200210","864351056301346","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200101","864351056307822","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200073","864200057143886","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200235","864351056297122","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200102","864351056300660","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200018","864351056307079","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200076","864351056308572","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200211","864351056309307","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200209","864351056299391","LS802-GP","Activated","2022-06-07T05:01:04.042Z","8","100","","PO#5BF00162"
"11F215200056","864351056259700","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200081","864351056299250","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200091","864351056258884","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200181","864351056299193","LS802-GP","Activated","2022-06-07T05:01:05.181Z","8","100","","PO#5BF00162"
"11F215200062","864351056301445","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200200","864351056297197","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200226","864351056300736","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200029","864351056296983","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200002","864351056300595","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200035","864351056298559","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200144","864351056299177","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200216","864351056301692","LS802-GP","Activated","","11","100","","PO#5BF00162"
"11F215200053","864351056307236","LS802-GP","Activated","","18","100","","PO#5BF00162"
"11F215200028","864351056303235","LS802-GP","Activated","2022-06-07T05:00:32.620Z","24","100","","PO#5BF00162"
"11F215200055","864351056307210","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200197","864351056301411","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200158","864351056303425","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200177","864351056299227","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200247","864351056299441","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200099","864351056297262","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200249","864351056309679","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200234","864351056302294","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200161","864351056299052","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200156","864351056297791","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200248","864351056301759","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200074","864351056309083","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200069","864351056303144","LS802-GP","Activated","","1","80","","PO#5BF00162"
"11F215200179","864351056309448","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200183","864351056306774","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200160","864351056300611","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200052","864351056301825","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200120","864351056301452","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200246","864351056301205","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200032","864351056301361","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200027","864351056301064","LS802-GP","Activated","2022-06-07T05:00:23.660Z","18","80","","PO#5BF00162"
"11F215200142","864351056299185","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200037","864351056343066","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200254","864351056301833","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200094","864351056301684","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200107","864351056300413","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200231","864351056297379","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200022","864351056259783","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200071","863859045773590","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200106","864351056301155","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200131","864351056302930","LS802-GP","Activated","","22","80","","PO#5BF00162"
"11F215200257","864351056259619","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200104","864351056300710","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200132","864351056299151","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200174","864351056307301","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200225","864351056299045","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200110","864351056302534","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200124","864351056297213","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200242","864351056300835","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200098","864351056302336","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200175","864351056297254","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200006","864351056302195","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200172","864351056300850","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200038","864351056302278","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200256","864351056303060","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200227","864351056343819","LS802-GP","Activated","2022-06-07T05:00:37.521Z","7","100","","PO#5BF00162"
"11F215200033","864351056297239","LS802-GP","Activated","2022-06-07T11:32:36.858Z","9","100","","PO#5BF00162"
"11F215200202","864351056306915","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200149","864351056301288","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200180","864351056306733","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200195","864351056306568","LS802-GP","Activated","","8","100","","PO#5BF00162"
"11F215200121","864351056301023","LS802-GP","Activated","","18","100","","PO#5BF00162"
"11F215200046","864351056302815","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200207","864351056343033","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200072","864351056314257","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200075","864351056299029","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200100","864351056306881","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200016","864351056302948","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200129","864351056300405","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200070","864351056303466","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200128","864351056302914","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200163","864351056307350","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200196","864351056302146","LS802-GP","Activated","2022-06-07T05:01:04.537Z","11","80","","PO#5BF00162"
"11F215200118","864351056302211","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200048","864351056301601","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200165","864351056298997","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200009","864351056302013","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200079","864351056302518","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200088","864351056306519","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200250","864351056258967","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200178","864351056306873","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200039","864351056300678","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200229","864351056297148","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200239","864351056328786","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200092","864351056306535","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200115","864351056300777","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200186","864351056259734","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200244","864351056314000","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200206","864351056300447","LS802-GP","Activated","","10","100","","PO#5BF00162"
"11F215200125","864351056307194","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200138","864351056303219","LS802-GP","Activated","2022-06-07T05:01:05.503Z","13","100","","PO#5BF00162"
"11F215200223","864351056297270","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200077","864351056301981","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200083","864351056297502","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200143","864351056299136","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200065","864351056307152","LS802-GP","Activated","","10","100","","PO#5BF00162"
"11F215200059","864351056309059","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200228","864351056297312","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200112","864351056303508","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200224","864351056307046","LS802-GP","Activated","","7","100","","PO#5BF00162"
"11F215200255","864351056301908","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200188","864351056303441","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200105","864351056301338","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200205","864351056302351","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200260","864351056301353","LS802-GP","Activated","","11","100","","PO#5BF00162"
"11F215200012","864351056307384","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200087","864351056300397","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200166","864351056297288","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200090","864351056300603","LS802-GP","Activated","","9","100","","PO#5BF00162"
"11F215200122","864351056259940","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200218","864351056301890","LS802-GP","Activated","","9","100","","PO#5BF00162"
"11F215200184","864351056258926","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200113","864351056299300","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200123","864351056299383","LS802-GP","Activated","","11","100","","PO#5BF00162"
"11F215200060","864351056307129","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200049","864351056302245","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200127","864351056303052","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200061","864351056296926","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200187","864351056259908","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200043","864351056301809","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200169","864351056301197","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200097","864351056301957","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200116","864351056306956","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200167","864351056307061","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200085","864351056302526","LS802-GP","Activated","2022-06-07T05:01:03.318Z","12","100","","PO#5BF00162"
"11F215200068","864351056301494","LS802-GP","Activated","","8","100","","PO#5BF00162"
"11F215200168","864351056303193","LS802-GP","Activated","","10","100","","PO#5BF00162"
"11F215200148","864351056301379","LS802-GP","Activated","","19","100","","PO#5BF00162"
"11F215200192","864351056307004","LS802-GP","Activated","2022-06-07T05:01:05.671Z","8","100","","PO#5BF00162"
"11F215200204","864351056309208","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200109","864351056300561","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200201","864351056258892","LS802-GP","Activated","","18","100","","PO#5BF00162"
"11F215200230","864351056301841","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200193","864351056299102","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200151","864351056301650","LS802-GP","Activated","2022-06-07T05:01:04.571Z","13","100","","PO#5BF00162"
"11F215200007","864351056301577","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200217","864351056300769","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200067","864351056272331","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200064","864351056301585","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200058","864351056306907","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200126","864351056302138","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200117","864351056319777","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200153","864351056306972","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200213","864351056301239","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200031","864351056307103","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200135","864351056306683","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200194","864351056302989","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200243","864351056301080","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200119","864351056297353","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200050","864351056307327","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200150","864351056302088","LS802-GP","Activated","","18","100","","PO#5BF00162"
"11F215200185","864351056301072","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200198","864351056306543","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200208","864351056299292","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200130","864351056302286","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200245","864351056302963","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200086","864351056297098","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200212","864351056298971","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200030","864351056302229","LS802-GP","Activated","2022-06-07T05:01:05.422Z","14","100","","PO#5BF00162"
"11F215200154","864351056297056","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200155","864351056306840","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200215","864351056319371","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200051","864351056307053","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200025","864351056301031","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200157","864351056306741","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200133","864351056297189","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200137","864351056299128","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200004","864351056301858","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200182","864351056303094","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200159","864351056306659","LS802-GP","Activated","","15","100","","PO#5BF00162"
"11F215200141","864351056301478","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200054","864351056259643","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200241","864351056306923","LS802-GP","Activated","","11","100","","PO#5BF00162"
"11F215200191","864351056303136","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200134","864351056307376","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200190","864351056302369","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200045","864351056301007","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200176","864351056259841","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200066","864351056300512","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200238","864351056301700","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200044","864351056300587","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200237","864351056302401","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200026","864351056297205","LS802-GP","Activated","2022-06-07T05:00:24.145Z","15","100","","PO#5BF00162"
"11F215200089","864351056303433","LS802-GP","Activated","","17","100","","PO#5BF00162"
"11F215200003","864351056319066","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200203","864351056306550","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200041","864351056302005","LS802-GP","Activated","","14","100","","PO#5BF00162"
"11F215200019","864351056297163","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200199","864351056301171","LS802-GP","Activated","","1","100","","PO#5BF00162"
"11F215200152","864351056311857","LS802-GP","Activated","2022-06-07T05:01:03.230Z","13","60","","PO#5BF00162"
"11F215200146","864351056297171","LS802-GP","Activated","","16","100","","PO#5BF00162"
"11F215200139","864351056308085","LS802-GP","Activated","","12","100","","PO#5BF00162"
"11F215200021","864351056300546","LS802-GP","Activated","","13","100","","PO#5BF00162"
"11F215200233","864351056259882","LS802-GP","Activated","","1","100","","PO#5BF00162"
